,Date,Latitude,Longitude,EPISODE_ID,EVENT_ID,STATE,STATE_FIPS,EVENT_TYPE,CZ_TYPE,CZ_FIPS,CZ_NAME,WFO,CZ_TIMEZONE,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS,SOURCE,MAGNITUDE,MAGNITUDE_TYPE,FLOOD_CAUSE,CATEGORY,TOR_F_SCALE,TOR_LENGTH,TOR_WIDTH,TOR_OTHER_WFO,TOR_OTHER_CZ_STATE,TOR_OTHER_CZ_FIPS,TOR_OTHER_CZ_NAME,EPISODE_NARRATIVE,EVENT_NARRATIVE,DATA_SOURCE
5606,2004-07-04,36,-92,1177336,5415930,ARKANSAS,5,Thunderstorm Wind,C,5,BAXTER,LZK,CST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,Thunderstorm winds downed a number of trees and power lines over portions of Baxter County.,,PDS
5607,2004-07-04,36,-92,1177337,5415931,ARKANSAS,5,Thunderstorm Wind,C,137,STONE,LZK,CST,0,0,0,0,,,TRAINED SPOTTER,50.0,EG,,,,,,,,,,Thunderstorm winds downed a number of trees and power lines.,,PDS
5608,2004-07-16,31,-82,1173149,5405916,GEORGIA,13,Thunderstorm Wind,C,39,CAMDEN,JAX,EST,0,0,0,0,,,FIRE DEPT/RESCUE SQUAD,50.0,EG,,,,,,,,,,Numerous reports of trees down all across the south end of the county.  Cables were snapped by winds which caused numerous power outages along highway 17.,,PDS
5609,2004-06-02,35,-102,1173593,5406714,TEXAS,48,Hail,C,437,SWISHER,LUB,CST,0,0,0,0,,,TRAINED SPOTTER,1.25,,,,,,,,,,,,,PDS
5610,2004-06-02,34,-101,1173593,5406715,TEXAS,48,Hail,C,107,CROSBY,LUB,CST,0,0,0,0,,50K,LAW ENFORCEMENT,1.0,,,,,,,,,,,,,PDS
5611,2004-06-02,34,-101,1173593,5406716,TEXAS,48,Hail,C,45,BRISCOE,LUB,CST,0,0,0,0,,,FIRE DEPT/RESCUE SQUAD,0.88,,,,,,,,,,,,,PDS
5612,2004-07-07,29,-82,1173037,5403961,FLORIDA,12,Thunderstorm Wind,C,83,MARION,JAX,EST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,Powerlines down along SR19 near Juniper Springs,,PDS
5613,2004-07-07,32,-83,1173038,5403962,GEORGIA,13,Thunderstorm Wind,C,69,COFFEE,JAX,EST,0,0,0,0,,,EMERGENCY MANAGER,55.0,EG,,,,,,,,,,2 Farm Shelters damaged. One collapsed and the other had its tin roof blown off and across Ernest Pridgen Rd.  Widespread tree damage across the area with marble size hail observed in town as well.,,PDS
5614,2004-06-13,36,-86,1172751,5403963,TENNESSEE,47,Thunderstorm Wind,C,187,WILLIAMSON,OHX,CST,0,0,0,0,,,AMATEUR RADIO,50.0,EG,,,,,,,,,,,Medium size trees were down along the Franklin and Brentwood city limits.,PDS
5615,2004-06-13,36,-86,1172751,5403964,TENNESSEE,47,Thunderstorm Wind,C,37,DAVIDSON,OHX,CST,0,0,0,0,,,EMERGENCY MANAGER,55.0,EG,,,,,,,,,,,EMA reported numerous trees and power lines were down in the southern part of the county.,PDS
5616,2004-06-13,35,-87,1172751,5403965,TENNESSEE,47,Thunderstorm Wind,C,165,SUMNER,OHX,CST,0,0,0,0,,,AMATEUR RADIO,50.0,EG,,,,,,,,,,,Ham radio report of a 100 foot tree was blown down.,PDS
5617,2004-07-06,30,-82,1173031,5403955,FLORIDA,12,Thunderstorm Wind,C,19,CLAY,JAX,EST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,"Large tree down, sign twisted and other areas of tree limb damage.",,PDS
5618,2004-07-07,29,-82,1173032,5403956,FLORIDA,12,Thunderstorm Wind,C,83,MARION,JAX,EST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,Trees and powerlines down along U.S. Highway 301,,PDS
5619,2004-07-07,29,-82,1173033,5403957,FLORIDA,12,Thunderstorm Wind,C,83,MARION,JAX,EST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,Trees and powerlines down along CR 329,,PDS
5620,2004-06-29,33,-80,1173016,5403636,SOUTH CAROLINA,45,Thunderstorm Wind,C,15,BERKELEY,CHS,EST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,,Trees were blown down along Witherbee Road.,PDS
5621,2004-06-30,33,-80,1173017,5403637,SOUTH CAROLINA,45,Thunderstorm Wind,C,19,CHARLESTON,CHS,EST,0,0,0,0,,,NWS EMPLOYEE(OFF DUTY),50.0,EG,,,,,,,,,,,Thunderstorm winds knocked down a tree and a large limb.,PDS
5622,2004-06-30,33,-81,1173017,5403638,SOUTH CAROLINA,45,Thunderstorm Wind,C,5,ALLENDALE,CHS,EST,0,0,0,0,,,LAW ENFORCEMENT,50.0,EG,,,,,,,,,,,Thunderstorm winds knocked down trees.,PDS
5623,2004-06-18,34,-102,1173601,5406912,TEXAS,48,Hail,C,279,LAMB,LUB,CST,0,0,0,0,,100K,LAW ENFORCEMENT,1.75,,,,,,,,,,,,Law enforcement reported golfball size hail.,PDS
5624,2004-06-18,34,-103,1173601,5406913,TEXAS,48,Thunderstorm Wind,C,279,LAMB,LUB,CST,0,0,0,0,5K,,LAW ENFORCEMENT,55.0,EG,,,,,,,,,,,Strong thunderstorm winds blew down power lines.,PDS
